Store_ID,SKU,Batch_ID,Arrival_Date,Sell_Through_Percent,Days_Since_Arrival,Temperature,Humidity,Category,Shelf_Life,Spoiled,SKU_Code,Category_Code,Marked_Down,Spoilage_Probability
1003,Broccoli,B5374,2025-06-26,0.64,2,27.3,74,Leafy,6,0,3,1,False,1.5730106e-05
1005,Apples,B9751,2025-06-16,0.4,12,33.7,52,Fruit,10,0,0,0,False,0.0027024844
1002,Apples,B8573,2025-06-21,0.65,7,31.3,79,Fruit,10,0,0,0,False,7.652544e-05
1003,Beets,B4598,2025-06-17,0.25,11,29.3,48,Root,10,0,2,2,False,0.0001663248
1003,Spinach,B4752,2025-06-27,0.52,1,33.3,85,Leafy,5,0,7,1,False,0.00050592556
1003,Tomatoes,B5386,2025-06-26,0.69,2,34.0,70,Fruit,6,0,8,0,False,0.00010075771
1002,Bananas,B4483,2025-06-20,0.24,8,31.4,88,Fruit,5,1,1,0,False,0.9997236
1004,Lettuce,B3340,2025-06-25,0.69,3,36.3,30,Leafy,4,0,5,1,False,0.00015959736
1002,Broccoli,B9830,2025-06-23,0.82,5,30.3,60,Leafy,6,0,3,1,False,2.2431286e-05
1006,Tomatoes,B7543,2025-06-22,0.71,6,22.0,61,Fruit,6,0,8,0,False,0.00014148284
1002,Apples,B9348,2025-06-20,0.75,8,35.9,57,Fruit,10,0,0,0,False,5.1343315e-05
1001,Spinach,B2796,2025-06-25,0.58,3,28.0,78,Leafy,5,0,7,1,False,3.1759668e-05
1006,Apples,B7916,2025-06-18,0.75,10,27.9,72,Fruit,10,0,0,0,False,8.349222e-05
1001,Tomatoes,B7252,2025-06-20,0.31,8,33.9,54,Fruit,6,0,8,0,False,0.0019763026
1005,Carrots,B1188,2025-06-24,0.65,4,28.4,43,Root,14,0,4,2,False,7.5139533e-06
1006,Beets,B5371,2025-06-15,0.33,13,31.0,65,Root,10,1,2,2,False,0.9861842
1006,Bananas,B2827,2025-06-23,0.66,5,24.3,58,Fruit,5,0,1,0,False,2.7244476e-05
1004,Apples,B8433,2025-06-27,0.65,1,26.8,62,Fruit,10,0,0,0,False,1.2056975e-05
1006,Carrots,B9201,2025-06-22,0.76,6,37.5,67,Root,14,0,4,2,False,5.5927845e-05
1005,Mangoes,B5889,2025-06-19,0.33,9,29.7,36,Fruit,7,0,6,0,False,0.00011943219
1005,Broccoli,B3504,2025-06-22,0.7,6,30.2,100,Leafy,6,0,3,1,False,0.00014100566
1002,Beets,B9689,2025-06-27,0.67,1,31.2,64,Root,10,0,2,2,False,1.1632952e-05
1005,Bananas,B9005,2025-06-27,0.52,1,34.6,76,Fruit,5,0,1,0,False,0.0021955946
1001,Bananas,B6038,2025-06-24,0.82,4,26.4,86,Fruit,5,0,1,0,False,5.1357172e-05
1001,Broccoli,B2290,2025-06-26,0.49,2,32.3,97,Leafy,6,0,3,1,False,5.4254848e-05
1006,Lettuce,B2133,2025-06-21,0.2,7,27.7,66,Leafy,4,0,5,1,False,0.001927773
1005,Apples,B3103,2025-06-17,0.25,11,23.8,66,Fruit,10,0,0,0,False,0.0011141517
1004,Beets,B3705,2025-06-23,0.54,5,31.9,51,Root,10,0,2,2,False,1.6075495e-05
1005,Tomatoes,B4470,2025-06-19,0.45,9,26.9,60,Fruit,6,0,8,0,False,0.0008147528
1006,Broccoli,B6107,2025-06-21,0.38,7,25.1,68,Leafy,6,0,3,1,False,0.00038302533
1006,Bananas,B8177,2025-06-20,0.43,8,23.6,67,Fruit,5,0,1,0,False,0.002169252
1001,Broccoli,B4681,2025-06-26,0.74,2,33.1,46,Leafy,6,0,3,1,False,1.8422887e-05
1003,Spinach,B4770,2025-06-24,0.5,4,32.1,69,Leafy,5,0,7,1,False,0.0005147868
1001,Mangoes,B1964,2025-06-24,0.74,4,31.4,54,Fruit,7,0,6,0,False,2.9613915e-05
1001,Spinach,B6413,2025-06-26,0.73,2,31.2,54,Leafy,5,0,7,1,False,2.7817361e-05
1005,Broccoli,B5562,2025-06-20,0.49,8,31.9,47,Leafy,6,0,3,1,False,0.0010288106
1002,Beets,B3167,2025-06-16,0.37,12,26.1,76,Root,10,0,2,2,False,0.00077243405
1005,Lettuce,B4981,2025-06-21,0.42,7,26.7,79,Leafy,4,0,5,1,False,0.0014739268
1004,Tomatoes,B4119,2025-06-26,0.76,2,33.3,93,Fruit,6,0,8,0,False,3.7954345e-05
1001,Tomatoes,B6804,2025-06-21,0.28,7,27.0,51,Fruit,6,0,8,0,False,0.0001018898
1004,Lettuce,B1887,2025-06-22,0.22,6,29.7,70,Leafy,4,0,5,1,False,0.0014915506
1006,Mangoes,B1993,2025-06-21,0.74,7,33.3,65,Fruit,7,0,6,0,False,0.00043470674
1006,Bananas,B2790,2025-06-24,0.92,4,28.9,100,Fruit,5,0,1,0,False,5.1357172e-05
1002,Broccoli,B9786,2025-06-20,0.36,8,26.6,48,Leafy,6,0,3,1,False,0.000101852595
1002,Tomatoes,B4006,2025-06-23,0.77,5,29.1,75,Fruit,6,0,8,0,False,2.8948047e-05
1004,Broccoli,B2235,2025-06-20,0.35,8,29.7,52,Leafy,6,0,3,1,False,8.535545e-05
1005,Mangoes,B1828,2025-06-19,0.15,9,28.2,77,Fruit,7,0,6,0,False,0.0009148185
1001,Mangoes,B4872,2025-06-25,0.73,3,25.0,67,Fruit,7,0,6,0,False,2.0903724e-05
1004,Lettuce,B8886,2025-06-26,0.76,2,26.5,67,Leafy,4,0,5,1,False,5.4562006e-05
1004,Spinach,B3697,2025-06-21,0.31,7,25.4,70,Leafy,5,0,7,1,False,0.00133239
1001,Tomatoes,B5345,2025-06-20,0.36,8,34.3,80,Fruit,6,1,8,0,False,0.9988255
1003,Tomatoes,B8973,2025-06-25,0.49,3,26.2,72,Fruit,6,0,8,0,False,4.6537687e-05
1002,Carrots,B4566,2025-06-26,0.78,2,32.1,100,Root,14,0,4,2,False,1.2295606e-05
1005,Beets,B1998,2025-06-16,0.36,12,34.5,79,Root,10,1,2,2,False,0.9924585
1003,Spinach,B1821,2025-06-20,0.37,8,28.7,76,Leafy,5,0,7,1,False,0.0010550221
1005,Beets,B3579,2025-06-27,0.58,1,29.1,57,Root,10,0,2,2,False,7.5139533e-06
1005,Mangoes,B4044,2025-06-26,0.71,2,39.3,36,Fruit,7,0,6,0,False,8.401783e-05
1005,Mangoes,B4853,2025-06-21,0.8,7,23.5,57,Fruit,7,0,6,0,False,6.829002e-05
1001,Broccoli,B1651,2025-06-26,0.86,2,30.3,48,Leafy,6,0,3,1,False,1.854218e-05
1004,Beets,B6183,2025-06-23,0.59,5,32.7,54,Root,10,0,2,2,False,9.06554e-06
1002,Bananas,B4910,2025-06-23,0.73,5,30.2,55,Fruit,5,0,1,0,False,3.654846e-05
1004,Apples,B5915,2025-06-20,0.99,8,32.5,34,Fruit,10,0,0,0,False,2.7088076e-05
1003,Mangoes,B1152,2025-06-20,0.32,8,27.4,77,Fruit,7,0,6,0,False,0.0005362038
1005,Mangoes,B2200,2025-06-19,0.22,9,29.5,72,Fruit,7,0,6,0,False,0.0009485761
1002,Beets,B5345,2025-06-25,0.83,3,25.2,59,Root,10,0,2,2,False,7.5139533e-06
1003,Mangoes,B5002,2025-06-22,0.63,6,27.4,91,Fruit,7,0,6,0,False,9.6119096e-05
1003,Apples,B8179,2025-06-19,0.76,9,25.0,78,Fruit,10,0,0,0,False,3.8734986e-05
1006,Carrots,B9666,2025-06-27,0.99,1,34.1,42,Root,14,0,4,2,False,1.7718887e-05
1006,Beets,B5905,2025-06-17,0.25,11,35.1,54,Root,10,0,2,2,False,0.0015229855
1001,Apples,B5333,2025-06-26,0.77,2,33.1,51,Fruit,10,0,0,0,False,1.2008675e-05
1001,Beets,B3546,2025-06-23,0.69,5,17.0,49,Root,10,0,2,2,False,7.966827e-06
1003,Broccoli,B6617,2025-06-24,0.66,4,25.0,89,Leafy,6,0,3,1,False,1.6823407e-05
1006,Carrots,B9280,2025-06-12,0.16,16,28.2,66,Root,14,0,4,2,False,0.0012844709
1003,Spinach,B2512,2025-06-21,0.44,7,24.3,82,Leafy,5,0,7,1,False,0.001947312
1003,Spinach,B1058,2025-06-22,0.3,6,26.1,71,Leafy,5,0,7,1,False,0.00059334503
1002,Carrots,B3647,2025-06-13,0.32,15,27.6,66,Root,14,0,4,2,False,0.0012844709
1005,Tomatoes,B1158,2025-06-26,0.64,2,30.5,74,Fruit,6,0,8,0,False,4.1067e-05
1001,Apples,B9938,2025-06-27,0.94,1,25.0,96,Fruit,10,0,0,0,False,1.23148275e-05
1003,Beets,B3426,2025-06-21,0.41,7,29.4,73,Root,10,0,2,2,False,3.0370771e-05
1002,Spinach,B6050,2025-06-22,0.33,6,27.5,61,Leafy,5,0,7,1,False,0.00042511226
1001,Bananas,B4441,2025-06-24,0.63,4,27.6,77,Fruit,5,0,1,0,False,5.1357172e-05
1006,Mangoes,B6794,2025-06-19,0.34,9,27.2,78,Fruit,7,0,6,0,False,0.00061266177
1004,Apples,B4878,2025-06-25,0.75,3,33.3,74,Fruit,10,0,0,0,False,1.21927915e-05
1002,Tomatoes,B1406,2025-06-25,0.58,3,27.8,76,Fruit,6,0,8,0,False,2.7056965e-05
1006,Bananas,B7745,2025-06-24,0.79,4,29.9,66,Fruit,5,0,1,0,False,3.8511414e-05
1003,Apples,B2771,2025-06-21,0.89,7,27.6,73,Fruit,10,0,0,0,False,2.3811774e-05
1001,Lettuce,B4644,2025-06-26,0.67,2,29.1,81,Leafy,4,0,5,1,False,6.4278705e-05
1004,Bananas,B6000,2025-06-24,0.82,4,33.3,84,Fruit,5,0,1,0,False,9.094131e-05
1002,Spinach,B4164,2025-06-21,0.3,7,32.7,60,Leafy,5,0,7,1,False,0.002061356
1003,Carrots,B2137,2025-06-19,0.75,9,29.5,66,Root,14,0,4,2,False,1.5093697e-05
1003,Beets,B7548,2025-06-17,0.36,11,26.7,96,Root,10,0,2,2,False,0.0011328695
1005,Bananas,B1452,2025-06-26,0.55,2,25.1,82,Fruit,5,0,1,0,False,9.4701805e-05
1003,Apples,B5349,2025-06-27,0.82,1,32.5,74,Fruit,10,0,0,0,False,1.9428388e-05
1001,Tomatoes,B6663,2025-06-22,0.7,6,26.4,66,Fruit,6,0,8,0,False,0.0001794265
1004,Beets,B2894,2025-06-21,0.6,7,33.9,62,Root,10,0,2,2,False,2.4571418e-05
1005,Broccoli,B5173,2025-06-27,0.58,1,28.7,71,Leafy,6,0,3,1,False,1.6069333e-05
1006,Tomatoes,B1027,2025-06-19,0.24,9,26.7,68,Fruit,6,0,8,0,False,0.0018742721
1005,Broccoli,B6967,2025-06-21,0.32,7,28.0,57,Leafy,6,0,3,1,False,0.000114625815
1001,Bananas,B6143,2025-06-26,0.73,2,24.2,43,Fruit,5,0,1,0,False,2.5695792e-05
1006,Carrots,B9308,2025-06-18,0.59,10,29.1,69,Root,14,0,4,2,False,3.2359745e-05
1006,Tomatoes,B6344,2025-06-21,0.45,7,33.4,62,Fruit,6,1,8,0,False,0.93407303
1006,Carrots,B3085,2025-06-21,0.7,7,26.0,64,Root,14,0,4,2,False,9.9196905e-06
1004,Tomatoes,B3851,2025-06-23,0.66,5,31.3,52,Fruit,6,0,8,0,False,4.8433598e-05
1004,Beets,B1006,2025-06-23,0.78,5,36.1,63,Root,10,0,2,2,False,3.4819874e-05
1003,Broccoli,B8043,2025-06-22,0.76,6,32.8,58,Leafy,6,0,3,1,False,0.00011927866
1004,Lettuce,B8244,2025-06-22,0.32,6,30.1,66,Leafy,4,1,5,1,False,0.9961772
1002,Beets,B8752,2025-06-15,0.22,13,30.1,72,Root,10,1,2,2,False,0.99494535
1006,Apples,B2389,2025-06-23,0.92,5,33.8,97,Fruit,10,0,0,0,False,4.7877573e-05
1005,Bananas,B2530,2025-06-24,0.58,4,33.5,67,Fruit,5,0,1,0,False,5.6296307e-05
1006,Carrots,B4680,2025-06-21,0.99,7,26.8,52,Root,14,0,4,2,False,8.425829e-06
1002,Spinach,B1757,2025-06-24,0.61,4,21.5,57,Leafy,5,0,7,1,False,1.893291e-05
1004,Mangoes,B8461,2025-06-21,0.59,7,30.6,70,Fruit,7,0,6,0,False,0.00042424555
1006,Broccoli,B7291,2025-06-20,0.49,8,33.8,56,Leafy,6,0,3,1,False,0.00205495
1004,Broccoli,B3417,2025-06-27,0.57,1,32.0,45,Leafy,6,0,3,1,False,2.1372103e-05
1001,Tomatoes,B4585,2025-06-25,0.97,3,34.7,57,Fruit,6,0,8,0,False,7.17542e-05
1006,Beets,B8611,2025-06-27,0.44,1,35.4,63,Root,10,0,2,2,False,6.401359e-05
1005,Broccoli,B2988,2025-06-20,0.42,8,23.6,56,Leafy,6,0,3,1,False,9.624613e-05
1002,Lettuce,B9702,2025-06-23,0.3,5,30.2,58,Leafy,4,0,5,1,False,0.0007719572
1005,Bananas,B8251,2025-06-21,0.36,7,25.7,62,Fruit,5,0,1,0,False,0.00057996623
1005,Lettuce,B3607,2025-06-22,0.31,6,32.1,75,Leafy,4,1,5,1,False,0.99925965
1004,Lettuce,B5246,2025-06-21,0.19,7,23.9,84,Leafy,4,0,5,1,False,0.0021400333
1002,Carrots,B9540,2025-06-12,0.33,16,27.0,88,Root,14,0,4,2,False,0.0014558758
1006,Broccoli,B5499,2025-06-20,0.31,8,34.7,66,Leafy,6,1,3,1,False,0.99933136
1001,Carrots,B4841,2025-06-19,0.99,9,37.0,61,Root,14,0,4,2,False,5.1498268e-05
1003,Bananas,B9849,2025-06-26,0.85,2,32.6,85,Fruit,5,0,1,0,False,0.0001233474
1002,Apples,B4788,2025-06-21,0.56,7,32.7,80,Fruit,10,0,0,0,False,8.3455125e-05
1006,Apples,B4505,2025-06-26,0.44,2,25.3,34,Fruit,10,0,0,0,False,2.341732e-05
1004,Tomatoes,B6421,2025-06-19,0.27,9,32.9,87,Fruit,6,1,8,0,False,0.99977034
1004,Tomatoes,B2020,2025-06-24,0.71,4,36.5,44,Fruit,6,0,8,0,False,8.608426e-05
1004,Tomatoes,B1320,2025-06-21,0.13,7,29.8,70,Fruit,6,0,8,0,False,0.0007061495
1004,Spinach,B6763,2025-06-23,0.7,5,21.7,63,Leafy,5,0,7,1,False,3.081492e-05
1004,Tomatoes,B9818,2025-06-19,0.17,9,32.7,70,Fruit,6,1,8,0,False,0.99975604
1005,Broccoli,B8999,2025-06-24,0.56,4,27.9,49,Leafy,6,0,3,1,False,1.5532236e-05
1003,Tomatoes,B8956,2025-06-27,0.69,1,33.8,50,Fruit,6,0,8,0,False,7.17542e-05
1004,Bananas,B7624,2025-06-25,0.78,3,27.9,53,Fruit,5,0,1,0,False,2.5695792e-05
1004,Apples,B9751,2025-06-27,0.68,1,25.9,56,Fruit,10,0,0,0,False,1.0947296e-05
1004,Spinach,B2375,2025-06-21,0.18,7,37.9,65,Leafy,5,1,7,1,False,0.9991285
1002,Lettuce,B3977,2025-06-27,0.6,1,30.9,63,Leafy,4,0,5,1,False,9.001176e-05
1003,Tomatoes,B6363,2025-06-24,0.67,4,32.5,76,Fruit,6,0,8,0,False,5.3470216e-05
1004,Bananas,B6529,2025-06-21,0.25,7,27.7,60,Fruit,5,0,1,0,False,0.00014385341
1003,Tomatoes,B5133,2025-06-26,0.35,2,23.9,85,Fruit,6,0,8,0,False,4.745402e-05
1004,Spinach,B9837,2025-06-27,0.95,1,29.0,73,Leafy,5,0,7,1,False,2.969573e-05
1003,Broccoli,B2124,2025-06-27,0.75,1,42.3,81,Leafy,6,0,3,1,False,0.00012708362
1001,Broccoli,B4266,2025-06-27,0.68,1,26.2,40,Leafy,6,0,3,1,False,1.5532236e-05
1005,Apples,B4908,2025-06-25,0.73,3,27.0,43,Fruit,10,0,0,0,False,1.0947296e-05
1004,Mangoes,B4571,2025-06-20,0.24,8,25.7,90,Fruit,7,0,6,0,False,0.0005362038
1006,Carrots,B7043,2025-06-22,0.83,6,30.0,87,Root,14,0,4,2,False,7.7070235e-06
1005,Mangoes,B3683,2025-06-23,0.71,5,26.6,87,Fruit,7,0,6,0,False,2.4645036e-05
1001,Spinach,B6111,2025-06-21,0.35,7,25.9,62,Leafy,5,0,7,1,False,0.0006076356
1004,Broccoli,B2245,2025-06-24,0.57,4,24.5,78,Leafy,6,0,3,1,False,1.6823407e-05
1001,Carrots,B2983,2025-06-26,0.99,2,24.4,73,Root,14,0,4,2,False,7.247052e-06
1003,Beets,B8018,2025-06-17,0.23,11,28.1,56,Root,10,0,2,2,False,0.0001663248
1003,Mangoes,B9289,2025-06-22,0.57,6,30.2,52,Fruit,7,0,6,0,False,7.424724e-05
1001,Tomatoes,B9031,2025-06-26,0.74,2,29.8,61,Fruit,6,0,8,0,False,2.522768e-05
1004,Bananas,B8532,2025-06-25,0.56,3,27.7,76,Fruit,5,0,1,0,False,4.8019734e-05
1004,Apples,B9548,2025-06-17,0.35,11,26.1,66,Fruit,10,0,0,0,False,0.00096697314
1003,Beets,B8921,2025-06-20,0.81,8,23.3,73,Root,10,0,2,2,False,1.1193047e-05
1004,Carrots,B6280,2025-06-20,0.6,8,32.3,53,Root,14,0,4,2,False,1.1493304e-05
1001,Carrots,B8385,2025-06-20,0.43,8,23.5,65,Root,14,0,4,2,False,3.4612e-05
1004,Tomatoes,B6511,2025-06-27,0.74,1,26.4,74,Fruit,6,0,8,0,False,2.7056965e-05
1004,Bananas,B3979,2025-06-20,0.13,8,29.7,46,Fruit,5,0,1,0,False,0.00017870631
1002,Bananas,B5232,2025-06-22,0.23,6,30.2,52,Fruit,5,0,1,0,False,0.00046135468
1003,Carrots,B1166,2025-06-11,0.26,17,34.0,56,Root,14,0,4,2,False,0.0013393583
1002,Mangoes,B4954,2025-06-21,0.83,7,25.5,72,Fruit,7,0,6,0,False,0.0001500606
1004,Beets,B4937,2025-06-16,0.44,12,20.1,53,Root,10,0,2,2,False,0.00011835809
1004,Lettuce,B8342,2025-06-21,0.36,7,29.2,70,Leafy,4,0,5,1,False,0.0015734379
1001,Mangoes,B5820,2025-06-24,0.61,4,30.3,62,Fruit,7,0,6,0,False,2.5017092e-05
1004,Broccoli,B6016,2025-06-22,0.88,6,31.0,70,Leafy,6,0,3,1,False,0.00021664504
1004,Beets,B9698,2025-06-22,0.64,6,28.0,58,Root,10,0,2,2,False,8.039249e-06
1004,Beets,B6419,2025-06-22,0.76,6,28.3,69,Root,10,0,2,2,False,8.3330915e-06
1006,Lettuce,B5438,2025-06-25,0.99,3,33.5,60,Leafy,4,0,5,1,False,5.735696e-05
1003,Broccoli,B2976,2025-06-24,0.88,4,28.4,34,Leafy,6,0,3,1,False,1.5532236e-05
1003,Mangoes,B9779,2025-06-25,0.55,3,22.5,59,Fruit,7,0,6,0,False,2.8532222e-05
1002,Broccoli,B8933,2025-06-23,0.7,5,36.7,69,Leafy,6,0,3,1,False,0.00015523632
1006,Beets,B5636,2025-06-26,0.67,2,33.3,31,Root,10,0,2,2,False,8.3329405e-06
1002,Carrots,B4727,2025-06-16,0.74,12,33.1,42,Root,14,0,4,2,False,7.103389e-05
1002,Carrots,B1231,2025-06-23,0.87,5,31.4,58,Root,14,0,4,2,False,9.466531e-06
1003,Spinach,B1893,2025-06-23,0.79,5,39.1,67,Leafy,5,0,7,1,False,0.00048153265
1006,Apples,B9042,2025-06-26,0.74,2,28.2,52,Fruit,10,0,0,0,False,1.0947296e-05
1001,Carrots,B8690,2025-06-12,0.38,16,26.6,66,Root,14,0,4,2,False,0.0006803238
1004,Bananas,B4020,2025-06-27,0.63,1,31.9,70,Fruit,5,0,1,0,False,7.359036e-05
1003,Lettuce,B2869,2025-06-21,0.4,7,28.0,60,Leafy,4,0,5,1,False,0.00019678647
1001,Tomatoes,B9056,2025-06-26,0.55,2,28.2,70,Fruit,6,0,8,0,False,5.096953e-05
1005,Spinach,B3485,2025-06-25,0.81,3,26.3,78,Leafy,5,0,7,1,False,3.1759668e-05
1005,Carrots,B2395,2025-06-20,0.9,8,31.7,93,Root,14,0,4,2,False,3.524146e-05
1001,Beets,B7818,2025-06-18,0.58,10,25.0,38,Root,10,0,2,2,False,1.1314277e-05
1005,Broccoli,B9561,2025-06-21,0.45,7,32.6,64,Leafy,6,1,3,1,False,0.932993
1004,Lettuce,B5871,2025-06-21,0.33,7,25.5,100,Leafy,4,0,5,1,False,0.0021400333
1005,Tomatoes,B6003,2025-06-27,0.72,1,30.4,75,Fruit,6,0,8,0,False,3.518669e-05
1005,Mangoes,B4404,2025-06-24,0.77,4,30.9,53,Fruit,7,0,6,0,False,2.5284113e-05
1003,Mangoes,B3573,2025-06-24,0.77,4,37.5,85,Fruit,7,0,6,0,False,0.00014255768
1002,Beets,B2229,2025-06-25,0.94,3,28.0,50,Root,10,0,2,2,False,7.5139533e-06
1001,Tomatoes,B8381,2025-06-20,0.29,8,30.2,81,Fruit,6,1,8,0,False,0.9983517
1003,Spinach,B4792,2025-06-23,0.45,5,36.1,62,Leafy,5,0,7,1,False,0.066405736
1006,Carrots,B8438,2025-06-25,0.64,3,26.0,40,Root,14,0,4,2,False,7.5139533e-06
1006,Broccoli,B5334,2025-06-24,0.82,4,30.3,45,Leafy,6,0,3,1,False,1.854218e-05
1004,Mangoes,B9922,2025-06-24,0.51,4,28.7,90,Fruit,7,0,6,0,False,3.3152897e-05
1006,Apples,B5352,2025-06-25,0.66,3,24.0,61,Fruit,10,0,0,0,False,1.0736029e-05
1001,Spinach,B3718,2025-06-23,0.66,5,19.2,64,Leafy,5,0,7,1,False,3.6422294e-05
1005,Carrots,B8195,2025-06-24,0.67,4,32.8,92,Root,14,0,4,2,False,1.177478e-05
1004,Carrots,B7594,2025-06-19,0.87,9,28.9,48,Root,14,0,4,2,False,1.0002697e-05
1005,Beets,B9090,2025-06-20,0.99,8,30.2,65,Root,10,0,2,2,False,1.2976142e-05
1001,Spinach,B8078,2025-06-22,0.3,6,30.8,62,Leafy,5,1,7,1,False,0.9895432
1005,Carrots,B1423,2025-06-25,0.61,3,27.8,64,Root,14,0,4,2,False,8.231988e-06
1002,Spinach,B5415,2025-06-27,0.62,1,27.1,66,Leafy,5,0,7,1,False,2.837568e-05
1002,Lettuce,B9502,2025-06-22,0.27,6,36.0,30,Leafy,4,0,5,1,False,0.0049845376
1004,Carrots,B3973,2025-06-14,0.86,14,35.0,33,Root,14,0,4,2,False,0.0001354363
1006,Lettuce,B2494,2025-06-24,0.65,4,28.5,43,Leafy,4,0,5,1,False,2.8171035e-05
1003,Tomatoes,B6460,2025-06-22,0.58,6,25.6,91,Fruit,6,0,8,0,False,0.0001540026
1006,Mangoes,B3634,2025-06-22,0.84,6,35.1,75,Fruit,7,0,6,0,False,0.00053881796
1004,Lettuce,B5722,2025-06-22,0.19,6,27.9,72,Leafy,4,0,5,1,False,0.0014168579
1004,Beets,B1601,2025-06-20,0.52,8,32.9,61,Root,10,0,2,2,False,3.3724875e-05
1001,Bananas,B5135,2025-06-22,0.26,6,32.8,71,Fruit,5,1,1,0,False,0.99552333
1001,Tomatoes,B9431,2025-06-27,0.65,1,34.6,48,Fruit,6,0,8,0,False,7.17542e-05
1006,Beets,B8569,2025-06-21,0.79,7,32.4,60,Root,10,0,2,2,False,1.0489723e-05
1001,Broccoli,B9494,2025-06-22,0.75,6,25.0,78,Leafy,6,0,3,1,False,8.218262e-05
1005,Lettuce,B8242,2025-06-21,0.28,7,27.9,80,Leafy,4,0,5,1,False,0.0021400333
1001,Broccoli,B5375,2025-06-19,0.23,9,24.4,41,Leafy,6,0,3,1,False,0.00020564257
1002,Carrots,B8178,2025-06-12,0.36,16,24.9,91,Root,14,0,4,2,False,0.0013835732
1001,Spinach,B4920,2025-06-25,0.39,3,36.8,68,Leafy,5,0,7,1,False,0.002129829
1003,Beets,B1224,2025-06-19,0.69,9,27.8,70,Root,10,0,2,2,False,1.3333993e-05
1004,Mangoes,B4681,2025-06-26,0.69,2,34.4,66,Fruit,7,0,6,0,False,6.460612e-05
1004,Mangoes,B3522,2025-06-20,0.32,8,28.5,64,Fruit,7,0,6,0,False,0.00030755624
1006,Carrots,B9337,2025-06-19,0.75,9,23.2,44,Root,14,0,4,2,False,1.0002697e-05
1004,Lettuce,B8736,2025-06-26,0.81,2,30.7,62,Leafy,4,0,5,1,False,9.001176e-05
1004,Beets,B3369,2025-06-21,0.7,7,31.4,56,Root,10,0,2,2,False,1.0489723e-05
1002,Beets,B3236,2025-06-26,0.58,2,30.8,50,Root,10,0,2,2,False,1.0223159e-05
1003,Tomatoes,B6568,2025-06-19,0.34,9,23.2,80,Fruit,6,0,8,0,False,0.0014800704
1003,Spinach,B5634,2025-06-23,0.77,5,31.0,79,Leafy,5,0,7,1,False,0.00010552794
1005,Lettuce,B3434,2025-06-24,0.95,4,34.1,37,Leafy,4,0,5,1,False,0.00013303166
1005,Lettuce,B6654,2025-06-25,0.51,3,27.5,65,Leafy,4,0,5,1,False,0.0001039086
1005,Beets,B7180,2025-06-20,0.78,8,27.1,67,Root,10,0,2,2,False,1.20371205e-05
1003,Broccoli,B4912,2025-06-21,0.22,7,27.6,43,Leafy,6,0,3,1,False,0.000114625815
1002,Tomatoes,B1715,2025-06-22,0.56,6,24.6,50,Fruit,6,0,8,0,False,9.284451e-05
1006,Lettuce,B7246,2025-06-24,0.86,4,26.2,100,Leafy,4,0,5,1,False,6.4278705e-05
1006,Apples,B9115,2025-06-27,0.77,1,30.7,52,Fruit,10,0,0,0,False,1.4732672e-05
1002,Beets,B6439,2025-06-26,0.81,2,27.7,66,Root,10,0,2,2,False,7.793559e-06
1004,Mangoes,B9617,2025-06-20,0.56,8,29.6,82,Fruit,7,0,6,0,False,0.00025539915
1001,Apples,B7717,2025-06-17,0.23,11,29.9,91,Fruit,10,0,0,0,False,0.0014292833
